Scenario,Home_Temp,Population,Exp_Temp,Rep,Date and Time In,Date and Time Out,Total Time (days),# Start,# End,r,Temp.rep1,Temp.rep2
Acute,20,4,10,1,1/27/2020 16:02,1/28/2020 9:27,0.73,7,6,-0.21,20.4,20.4
Acute,20,4,10,2,1/27/2020 16:02,1/28/2020 9:30,0.73,7,9,0.35,20.4,20.4
Acute,20,4,10,3,1/27/2020 16:02,1/28/2020 9:32,0.73,7,10,0.49,20.4,20.4
Acute,20,4,10,4,1/27/2020 16:02,1/28/2020 9:35,0.73,7,7,0,20.4,20.4
Acute,20,4,10,5,1/27/2020 16:02,1/28/2020 9:37,0.73,7,7,0,20.4,20.4
Acute,20,4,10,6,1/27/2020 16:02,1/28/2020 9:40,0.73,7,7,0,20.4,20.4
Acute,20,4,20,1,1/27/2020 16:04,1/28/2020 10:36,0.77,7,9,0.33,20.4,20.4
Acute,20,4,20,2,1/27/2020 16:04,1/28/2020 10:37,0.77,7,8,0.17,20.4,20.4
Acute,20,4,20,3,1/27/2020 16:04,1/28/2020 10:39,0.77,7,8,0.17,20.4,20.4
Acute,20,4,20,4,1/27/2020 16:04,1/28/2020 10:40,0.78,7,11,0.58,20.4,20.4
Acute,20,4,20,5,1/27/2020 16:04,1/28/2020 10:41,0.78,7,10,0.46,20.4,20.4
Acute,20,4,20,6,1/27/2020 16:04,1/28/2020 10:43,0.78,7,8,0.17,20.4,20.4
Acute,20,4,25,1,1/27/2020 16:16,1/28/2020 13:10,0.87,7,23,1.37,20.4,20.4
Acute,20,4,25,2,1/27/2020 16:16,1/28/2020 13:48,0.9,7,27,1.5,20.4,20.4
Acute,20,4,25,3,1/27/2020 16:16,1/28/2020 14:30,0.93,7,19,1.08,20.4,20.4
Acute,20,4,25,4,1/27/2020 16:16,1/28/2020 14:47,0.94,7,22,1.22,20.4,20.4
Acute,20,4,25,5,1/27/2020 16:16,1/28/2020 15:04,0.95,7,26,1.38,20.4,20.4
Acute,20,4,25,6,1/27/2020 16:16,1/28/2020 15:10,0.95,7,25,1.33,20.4,20.4
Acute,20,4,28,1,1/27/2020 16:00,1/28/2020 16:24,1.02,7,44,1.81,20.4,20.4
Acute,20,4,28,2,1/27/2020 16:00,1/28/2020 16:38,1.03,7,44,1.79,20.4,20.4
Acute,20,4,28,3,1/27/2020 16:00,1/28/2020 16:52,1.04,7,53,1.95,20.4,20.4
Acute,20,4,28,4,1/27/2020 16:00,1/28/2020 17:00,1.04,7,49,1.87,20.4,20.4
Acute,20,4,28,5,1/27/2020 16:00,1/28/2020 17:18,1.05,7,46,1.79,20.4,20.4
Acute,20,4,28,6,1/27/2020 16:00,1/28/2020 17:30,1.06,7,55,1.94,20.4,20.4
Acute,20,4,30,1,1/27/2020 16:21,1/28/2020 18:08,1.07,7,53,1.88,20.4,20.4
Acute,20,4,30,2,1/27/2020 16:21,1/28/2020 18:33,1.09,7,56,1.9,20.4,20.4
Acute,20,4,30,3,1/27/2020 16:21,1/28/2020 18:17,1.08,7,71,2.14,20.4,20.4
Acute,20,4,30,4,1/27/2020 16:21,1/28/2020 18:01,1.07,7,64,2.07,20.4,20.4
Acute,20,4,30,5,1/27/2020 16:21,1/28/2020 18:26,1.09,7,64,2.04,20.4,20.4
Acute,20,4,30,6,1/27/2020 16:21,1/28/2020 17:54,1.06,7,47,1.79,20.4,20.4
Acute,20,4,32,1,1/27/2020 16:11,1/28/2020 12:37,0.85,7,48,2.26,20.4,20.4
Acute,20,4,32,2,1/27/2020 16:11,1/28/2020 12:42,0.85,7,33,1.81,20.4,20.4
Acute,20,4,32,3,1/27/2020 16:11,1/28/2020 12:46,0.86,7,43,2.12,20.4,20.4
Acute,20,4,32,4,1/27/2020 16:11,1/28/2020 12:50,0.86,7,34,1.84,20.4,20.4
Acute,20,4,32,5,1/27/2020 16:11,1/28/2020 12:54,0.86,7,52,2.32,20.4,20.4
Acute,20,4,32,6,1/27/2020 16:11,1/28/2020 12:58,0.87,7,32,1.76,20.4,20.4
Acute,20,4,36,1,1/27/2020 16:07,1/28/2020 10:02,0.75,7,25,1.71,20.4,20.4
Acute,20,4,36,2,1/27/2020 16:07,1/28/2020 10:05,0.75,7,35,2.15,20.4,20.4
Acute,20,4,36,3,1/27/2020 16:07,1/28/2020 10:09,0.75,7,31,1.98,20.4,20.4
Acute,20,4,36,4,1/27/2020 16:07,1/28/2020 10:12,0.75,7,30,1.93,20.4,20.4
Acute,20,4,36,5,1/27/2020 16:07,1/28/2020 10:15,0.76,7,34,2.09,20.4,20.4
Acute,20,4,36,6,1/27/2020 16:07,1/28/2020 10:18,0.76,7,33,2.05,20.4,20.4
Acute,20,4,39,1,1/27/2020 15:57,1/28/2020 8:48,0.7,7,7,0,20.4,20.4
Acute,20,4,39,2,1/27/2020 15:57,1/28/2020 8:50,0.7,7,6,-0.22,20.4,20.4
Acute,20,4,39,3,1/27/2020 15:57,1/28/2020 8:52,0.7,7,7,0,20.4,20.4
Acute,20,4,39,4,1/27/2020 15:57,1/28/2020 8:54,0.71,7,7,0,20.4,20.4
Acute,20,4,39,5,1/27/2020 15:57,1/28/2020 8:56,0.71,7,6,-0.22,20.4,20.4
Acute,20,4,39,6,1/27/2020 15:57,1/28/2020 8:58,0.71,7,7,0,20.4,20.4
Acute,36,6,10,1,1/27/2020 16:02,1/28/2020 9:21,0.72,7,7,0,36.6,36.6
Acute,36,6,10,2,1/27/2020 16:02,1/28/2020 9:24,0.72,7,7,0,36.6,36.6
Acute,36,6,10,3,1/27/2020 16:02,1/28/2020 9:29,0.73,7,7,0,36.6,36.6
Acute,36,6,10,4,1/27/2020 16:02,1/28/2020 9:31,0.73,7,7,0,36.6,36.6
Acute,36,6,10,5,1/27/2020 16:02,1/28/2020 9:33,0.73,7,6,-0.21,36.6,36.6
Acute,36,6,10,6,1/27/2020 16:02,1/28/2020 9:35,0.73,7,7,0,36.6,36.6
Acute,36,6,20,1,1/27/2020 16:04,1/28/2020 12:26,0.85,7,13,0.73,36.6,36.6
Acute,36,6,20,2,1/27/2020 16:04,1/28/2020 12:29,0.85,7,11,0.53,36.6,36.6
Acute,36,6,20,3,1/27/2020 16:04,1/28/2020 12:32,0.85,7,13,0.73,36.6,36.6
Acute,36,6,20,4,1/27/2020 16:04,1/28/2020 12:36,0.86,7,12,0.63,36.6,36.6
Acute,36,6,20,5,1/27/2020 16:04,1/28/2020 12:38,0.86,7,10,0.42,36.6,36.6
Acute,36,6,20,6,1/27/2020 16:04,1/28/2020 12:40,0.86,7,8,0.16,36.6,36.6
Acute,36,6,25,1,1/27/2020 16:16,1/28/2020 13:27,0.88,7,13,0.7,36.6,36.6
Acute,36,6,25,2,1/27/2020 16:16,1/28/2020 13:33,0.89,7,17,1,36.6,36.6
Acute,36,6,25,3,1/27/2020 16:16,1/28/2020 13:39,0.89,7,20,1.18,36.6,36.6
Acute,36,6,25,4,1/27/2020 16:16,1/28/2020 13:44,0.89,7,16,0.92,36.6,36.6
Acute,36,6,25,5,1/27/2020 16:16,1/28/2020 13:49,0.9,7,17,0.99,36.6,36.6
Acute,36,6,25,6,1/27/2020 16:16,1/28/2020 12:53,0.86,7,17,1.03,36.6,36.6
Acute,36,6,28,1,1/27/2020 16:00,1/28/2020 14:00,0.92,7,31,1.62,36.6,36.6
Acute,36,6,28,2,1/27/2020 16:00,1/28/2020 14:06,0.92,7,34,1.72,36.6,36.6
Acute,36,6,28,3,1/27/2020 16:00,1/28/2020 14:14,0.93,7,36,1.77,36.6,36.6
Acute,36,6,28,4,1/27/2020 16:00,1/28/2020 14:21,0.93,7,31,1.6,36.6,36.6
Acute,36,6,28,5,1/27/2020 16:00,1/28/2020 14:28,0.94,7,35,1.72,36.6,36.6
Acute,36,6,28,6,1/27/2020 16:00,1/28/2020 14:36,0.94,7,42,1.9,36.6,36.6
Acute,36,6,30,1,1/27/2020 16:21,1/28/2020 15:07,0.95,7,48,2.03,36.6,36.6
Acute,36,6,30,2,1/27/2020 16:21,1/28/2020 15:08,0.95,7,58,2.23,36.6,36.6
Acute,36,6,30,3,1/27/2020 16:21,1/28/2020 15:15,0.95,7,53,2.12,36.6,36.6
Acute,36,6,30,4,1/27/2020 16:21,1/28/2020 15:23,0.96,7,49,2.03,36.6,36.6
Acute,36,6,30,5,1/27/2020 16:21,1/28/2020 17:41,1.06,7,55,1.95,36.6,36.6
Acute,36,6,30,6,1/27/2020 16:21,1/28/2020 17:31,1.05,7,58,2.02,36.6,36.6
Acute,36,6,32,1,1/27/2020 16:11,1/28/2020 12:48,0.86,7,35,1.87,36.6,36.6
Acute,36,6,32,2,1/27/2020 16:11,1/28/2020 12:52,0.86,7,53,2.35,36.6,36.6
Acute,36,6,32,3,1/27/2020 16:11,1/28/2020 12:56,0.86,7,36,1.89,36.6,36.6
Acute,36,6,32,4,1/27/2020 16:11,1/28/2020 13:00,0.87,7,43,2.09,36.6,36.6
Acute,36,6,32,5,1/27/2020 16:11,1/28/2020 13:11,0.88,7,34,1.81,36.6,36.6
Acute,36,6,32,6,1/27/2020 16:11,1/28/2020 13:19,0.88,7,42,2.03,36.6,36.6
Acute,36,6,36,1,1/27/2020 16:07,1/28/2020 9:45,0.73,7,15,1.04,36.6,36.6
Acute,36,6,36,2,1/27/2020 16:07,1/28/2020 9:48,0.74,7,18,1.28,36.6,36.6
Acute,36,6,36,3,1/27/2020 16:07,1/28/2020 9:51,0.74,7,23,1.61,36.6,36.6
Acute,36,6,36,4,1/27/2020 16:07,1/28/2020 9:53,0.74,7,17,1.2,36.6,36.6
Acute,36,6,36,5,1/27/2020 16:07,1/28/2020 9:55,0.74,7,22,1.54,36.6,36.6
Acute,36,6,36,6,1/27/2020 16:07,1/28/2020 9:58,0.74,7,13,0.83,36.6,36.6
Acute,36,6,39,1,1/27/2020 15:57,1/28/2020 9:05,0.71,7,4,-0.78,36.6,36.6
Acute,36,6,39,2,1/27/2020 15:57,1/28/2020 9:08,0.72,7,5,-0.47,36.6,36.6
Acute,36,6,39,3,1/27/2020 15:57,1/28/2020 9:10,0.72,7,5,-0.47,36.6,36.6
Acute,36,6,39,4,1/27/2020 15:57,1/28/2020 9:12,0.72,7,5,-0.47,36.6,36.6
Acute,36,6,39,5,1/27/2020 15:57,1/28/2020 9:15,0.72,7,5,-0.47,36.6,36.6
Acute,36,6,39,6,1/27/2020 15:57,1/28/2020 9:17,0.72,7,4,-0.77,36.6,36.6
Acute,20,3,10,1,1/27/2020 16:02,1/28/2020 9:07,0.71,7,7,0,20.3,20.3
Acute,20,3,10,2,1/27/2020 16:02,1/28/2020 9:10,0.71,7,8,0.19,20.3,20.3
Acute,20,3,10,3,1/27/2020 16:02,1/28/2020 9:14,0.72,7,7,0,20.3,20.3
Acute,20,3,10,4,1/27/2020 16:02,1/28/2020 9:18,0.72,7,6,-0.21,20.3,20.3
Acute,20,3,10,5,1/27/2020 16:02,1/28/2020 9:20,0.72,7,7,0,20.3,20.3
Acute,20,3,10,6,1/27/2020 16:02,1/28/2020 9:22,0.72,7,7,0,20.3,20.3
Acute,20,3,20,1,1/27/2020 16:04,1/28/2020 10:22,0.76,7,11,0.59,20.3,20.3
Acute,20,3,20,2,1/27/2020 16:04,1/28/2020 10:24,0.76,7,10,0.47,20.3,20.3
Acute,20,3,20,3,1/27/2020 16:04,1/28/2020 10:26,0.77,7,12,0.7,20.3,20.3
Acute,20,3,20,4,1/27/2020 16:04,1/28/2020 10:28,0.77,7,10,0.47,20.3,20.3
Acute,20,3,20,5,1/27/2020 16:04,1/28/2020 10:30,0.77,7,11,0.59,20.3,20.3
Acute,20,3,20,6,1/27/2020 16:04,1/28/2020 10:32,0.77,7,12,0.7,20.3,20.3
Acute,20,3,25,1,1/27/2020 16:16,1/28/2020 15:55,0.99,7,30,1.48,20.3,20.3
Acute,20,3,25,2,1/27/2020 16:16,1/28/2020 16:11,1,7,34,1.59,20.3,20.3
Acute,20,3,25,3,1/27/2020 16:16,1/28/2020 15:41,0.98,7,34,1.62,20.3,20.3
Acute,20,3,25,4,1/27/2020 16:16,1/28/2020 16:03,0.99,7,35,1.62,20.3,20.3
Acute,20,3,25,5,1/27/2020 16:16,1/28/2020 15:35,0.97,7,27,1.39,20.3,20.3
Acute,20,3,25,6,1/27/2020 16:16,1/28/2020 15:48,0.98,7,30,1.48,20.3,20.3
Acute,20,3,28,1,1/27/2020 16:00,1/28/2020 15:02,0.96,7,50,2.05,20.3,20.3
Acute,20,3,28,2,1/27/2020 16:00,1/28/2020 14:32,0.94,7,47,2.03,20.3,20.3
Acute,20,3,28,3,1/27/2020 16:00,1/28/2020 14:53,0.95,7,41,1.85,20.3,20.3
Acute,20,3,28,4,1/27/2020 16:00,1/28/2020 15:24,0.98,7,50,2.02,20.3,20.3
Acute,20,3,28,5,1/27/2020 16:00,1/28/2020 15:14,0.97,7,51,2.05,20.3,20.3
Acute,20,3,28,6,1/27/2020 16:00,1/28/2020 14:41,0.95,7,48,2.04,20.3,20.3
Acute,20,3,30,1,1/27/2020 16:21,1/28/2020 17:12,1.04,7,54,1.97,20.3,20.3
Acute,20,3,30,2,1/27/2020 16:21,1/28/2020 16:51,1.02,7,66,2.2,20.3,20.3
Acute,20,3,30,3,1/27/2020 16:21,1/28/2020 16:24,1,7,63,2.19,20.3,20.3
Acute,20,3,30,4,1/27/2020 16:21,1/28/2020 17:21,1.04,7,70,2.21,20.3,20.3
Acute,20,3,30,5,1/27/2020 16:21,1/28/2020 16:38,1.01,7,71,2.29,20.3,20.3
Acute,20,3,30,6,1/27/2020 16:21,1/28/2020 17:03,1.03,7,54,1.99,20.3,20.3
Acute,20,3,32,1,1/27/2020 16:11,1/28/2020 13:09,0.87,7,53,2.32,20.3,20.3
Acute,20,3,32,2,1/27/2020 16:11,1/28/2020 13:14,0.88,7,53,2.31,20.3,20.3
Acute,20,3,32,3,1/27/2020 16:11,1/28/2020 13:37,0.89,7,50,2.2,20.3,20.3
Acute,20,3,32,4,1/27/2020 16:11,1/28/2020 13:53,0.9,7,46,2.08,20.3,20.3
Acute,20,3,32,5,1/27/2020 16:11,1/28/2020 14:05,0.91,7,59,2.34,20.3,20.3
Acute,20,3,32,6,1/27/2020 16:11,1/28/2020 14:16,0.92,7,57,2.28,20.3,20.3
Acute,20,3,36,1,1/27/2020 16:07,1/28/2020 9:44,0.73,7,36,2.23,20.3,20.3
Acute,20,3,36,2,1/27/2020 16:07,1/28/2020 9:48,0.74,7,51,2.7,20.3,20.3
Acute,20,3,36,3,1/27/2020 16:07,1/28/2020 9:52,0.74,7,41,2.39,20.3,20.3
Acute,20,3,36,4,1/27/2020 16:07,1/28/2020 9:55,0.74,7,38,2.28,20.3,20.3
Acute,20,3,36,5,1/27/2020 16:07,1/28/2020 9:58,0.74,7,32,2.04,20.3,20.3
Acute,20,3,36,6,1/27/2020 16:07,1/28/2020 10:01,0.75,7,34,2.12,20.3,20.3
Acute,20,3,39,1,1/27/2020 15:57,1/28/2020 8:31,0.69,7,7,0,20.3,20.3
Acute,20,3,39,2,1/27/2020 15:57,1/28/2020 8:34,0.69,7,7,0,20.3,20.3
Acute,20,3,39,3,1/27/2020 15:57,1/28/2020 8:38,0.7,7,7,0,20.3,20.3
Acute,20,3,39,4,1/27/2020 15:57,1/28/2020 8:40,0.7,7,6,-0.22,20.3,20.3
Acute,20,3,39,5,1/27/2020 15:57,1/28/2020 8:42,0.7,7,6,-0.22,20.3,20.3
Acute,20,3,39,6,1/27/2020 15:57,1/28/2020 8:44,0.7,7,7,0,20.3,20.3
Acute,36,1,10,1,1/28/2020 6:24,1/29/2020 14:13,1.33,7,6,-0.12,36.1,36.1
Acute,36,1,10,2,1/28/2020 6:24,1/29/2020 14:02,1.32,7,2,-0.95,36.1,36.1
Acute,36,1,10,3,1/28/2020 6:24,1/29/2020 14:17,1.33,7,7,0,36.1,36.1
Acute,36,1,10,4,1/28/2020 6:24,1/29/2020 13:51,1.31,7,7,0,36.1,36.1
Acute,36,1,10,5,1/28/2020 6:24,1/29/2020 14:08,1.32,7,6,-0.12,36.1,36.1
Acute,36,1,10,6,1/28/2020 6:24,1/29/2020 13:58,1.32,7,7,0,36.1,36.1
Acute,36,1,20,1,1/28/2020 6:21,1/29/2020 12:51,1.27,7,7,0,36.1,36.1
Acute,36,1,20,2,1/28/2020 6:21,1/29/2020 12:53,1.27,7,8,0.1,36.1,36.1
Acute,36,1,20,3,1/28/2020 6:21,1/29/2020 12:55,1.27,7,7,0,36.1,36.1
Acute,36,1,20,4,1/28/2020 6:21,1/29/2020 12:56,1.27,7,7,0,36.1,36.1
Acute,36,1,20,5,1/28/2020 6:21,1/29/2020 12:58,1.28,7,7,0,36.1,36.1
Acute,36,1,20,6,1/28/2020 6:21,1/29/2020 12:59,1.28,7,8,0.1,36.1,36.1
Acute,36,1,25,1,1/28/2020 6:28,1/29/2020 12:35,1.25,7,13,0.49,36.1,36.1
Acute,36,1,25,2,1/28/2020 6:28,1/29/2020 12:38,1.26,7,14,0.55,36.1,36.1
Acute,36,1,25,3,1/28/2020 6:28,1/29/2020 12:41,1.26,7,17,0.7,36.1,36.1
Acute,36,1,25,4,1/28/2020 6:28,1/29/2020 12:44,1.26,7,12,0.43,36.1,36.1
Acute,36,1,25,5,1/28/2020 6:28,1/29/2020 12:46,1.26,7,14,0.55,36.1,36.1
Acute,36,1,25,6,1/28/2020 6:28,1/29/2020 12:48,1.26,7,13,0.49,36.1,36.1
Acute,36,1,28,1,1/28/2020 6:33,1/29/2020 12:13,1.24,7,18,0.76,36.1,36.1
Acute,36,1,28,2,1/28/2020 6:33,1/29/2020 12:16,1.24,7,22,0.92,36.1,36.1
Acute,36,1,28,3,1/28/2020 6:33,1/29/2020 12:21,1.24,7,23,0.96,36.1,36.1
Acute,36,1,28,4,1/28/2020 6:33,1/29/2020 12:24,1.24,7,21,0.88,36.1,36.1
Acute,36,1,28,5,1/28/2020 6:33,1/29/2020 12:28,1.25,7,24,0.99,36.1,36.1
Acute,36,1,28,6,1/28/2020 6:33,1/29/2020 12:31,1.25,7,24,0.99,36.1,36.1
Acute,36,1,30,1,1/28/2020 6:40,1/29/2020 9:17,1.11,7,22,1.03,36.1,36.1
Acute,36,1,30,2,1/28/2020 6:40,1/29/2020 9:26,1.12,7,22,1.03,36.1,36.1
Acute,36,1,30,3,1/28/2020 6:40,1/29/2020 9:31,1.12,7,19,0.89,36.1,36.1
Acute,36,1,30,4,1/28/2020 6:40,1/29/2020 9:38,1.12,7,20,0.93,36.1,36.1
Acute,36,1,30,5,1/28/2020 6:40,1/29/2020 9:45,1.13,7,22,1.01,36.1,36.1
Acute,36,1,30,6,1/28/2020 6:40,1/29/2020 9:50,1.13,7,21,0.97,36.1,36.1
Acute,36,1,32,1,1/28/2020 6:49,1/29/2020 10:42,1.16,7,24,1.06,36.1,36.1
Acute,36,1,32,2,1/28/2020 6:49,1/29/2020 10:49,1.17,7,28,1.19,36.1,36.1
Acute,36,1,32,3,1/28/2020 6:49,1/29/2020 10:56,1.17,7,25,1.09,36.1,36.1
Acute,36,1,32,4,1/28/2020 6:49,1/29/2020 11:03,1.18,7,23,1.01,36.1,36.1
Acute,36,1,32,5,1/28/2020 6:49,1/29/2020 11:09,1.18,7,23,1.01,36.1,36.1
Acute,36,1,32,6,1/28/2020 6:49,1/29/2020 11:15,1.18,7,22,0.97,36.1,36.1
Acute,36,1,36,1,1/28/2020 7:02,1/29/2020 11:27,1.18,7,22,0.97,36.1,36.1
Acute,36,1,36,2,1/28/2020 7:02,1/29/2020 11:37,1.19,7,17,0.75,36.1,36.1
Acute,36,1,36,3,1/28/2020 7:02,1/29/2020 11:43,1.2,7,20,0.88,36.1,36.1
Acute,36,1,36,4,1/28/2020 7:02,1/29/2020 11:47,1.2,7,19,0.83,36.1,36.1
Acute,36,1,36,5,1/28/2020 7:02,1/29/2020 11:53,1.2,7,15,0.63,36.1,36.1
Acute,36,1,36,6,1/28/2020 7:02,1/29/2020 11:57,1.2,7,16,0.69,36.1,36.1
